"SEQN","SDDSRVYR","RIDSTATR","RIAGENDR","RIDAGEYR","RIDAGEMN","RIDRETH1","RIDRETH3","RIDEXMON","RIDEXAGM","DMQMILIZ","DMQADFC","DMDBORN4","DMDCITZN","DMDYRSUS","DMDEDUC3","DMDEDUC2","DMDMARTL","RIDEXPRG","SIALANG","SIAPROXY","SIAINTRP","FIALANG","FIAPROXY","FIAINTRP","MIALANG","MIAPROXY","MIAINTRP","AIALANGA","DMDHHSIZ","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","DMDHSEDU","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA","INDHHIN2","INDFMIN2","INDFMPIR"
73567,8,2,1,65,,3,3,2,,2,,1,1,,,2,2,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,1,1,65,1,2,2,,34002.622995,34795.429301,2,112,3,3,1.2
73568,8,2,2,26,,3,3,2,,2,,1,1,,,5,5,2,1,2,2,1,2,2,1,2,2,1,3,3,0,0,0,2,26,1,5,5,,89514.433218,91523.516048,2,113,15,15,5
73569,8,1,2,0,10,5,7,,,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,2,0,0,2,30,1,4,1,5,6673.803649,0,1,110,77,77,
73570,8,2,2,9,,5,7,1,109,,,1,1,,2,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,3,0,2,43,1,5,3,,11913.818655,12071.467415,2,115,5,5,0.84
73571,8,2,1,76,,3,3,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,1,76,1,5,1,5,46988.470276,46190.114005,1,116,14,14,5
73572,8,2,2,10,,4,4,1,125,,,1,1,,3,,,,1,1,2,1,2,2,1,2,2,1,3,3,0,2,0,2,30,1,4,5,,11689.376908,12764.396165,2,111,2,2,0.41
73573,8,2,1,10,,4,4,1,128,,,1,1,,4,,,,1,1,2,1,2,2,1,2,2,1,5,5,1,2,0,1,44,1,3,1,3,6403.212786,6460.787962,2,106,8,8,1.79
73574,8,2,2,33,,5,6,1,,2,,2,1,4,,5,1,2,1,2,2,1,2,2,1,2,2,1,4,4,1,1,0,2,33,2,5,1,5,14155.313,15397.219846,2,114,8,8,2.1
73575,8,2,1,1,18,4,4,1,19,,,1,1,,,,,,1,1,2,1,2,2,,,,,2,2,1,0,0,2,19,1,2,,,7574.950558,7721.542396,2,116,3,3,0.76
73576,8,2,1,16,,4,4,2,194,,,1,1,,9,,,,1,2,2,1,2,2,1,2,2,1,6,6,2,2,0,2,35,1,4,77,,12433.748735,12665.77009,1,104,8,8,1.58
73577,8,2,1,32,,1,1,1,,2,,2,2,4,,1,6,,2,2,1,2,2,1,2,2,2,2,7,5,3,2,0,2,32,2,3,6,,36284.650273,39735.01707,2,118,5,2,0.29
73578,8,2,1,18,,1,1,1,218,2,,1,1,,15,,,,1,2,2,1,2,2,1,2,2,1,7,7,0,2,2,2,60,2,3,1,1,11592.846429,11758.631127,2,118,5,5,0.58
73579,8,2,2,12,,3,3,2,147,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,2,38,1,5,1,5,63248.989522,70708.03403,1,110,10,10,2.97
73580,8,2,2,38,,4,4,1,,2,,1,1,,,3,1,2,1,2,2,1,2,2,1,2,2,1,6,6,0,3,0,2,38,1,3,1,2,27388.92069,27196.638394,2,116,12,12,
73581,8,2,1,50,,5,6,1,,2,,2,2,4,,5,1,,1,2,2,1,2,2,1,2,2,1,3,3,0,1,0,1,50,2,5,1,4,15902.418122,16764.260669,2,106,15,15,5
73582,8,2,2,23,,4,4,1,,2,,1,1,,,4,6,1,1,2,2,1,2,2,,,,,3,3,1,0,0,2,23,1,4,6,,30197.081366,31181.886343,1,108,3,3,0.69
73583,8,2,2,7,,3,3,2,86,,,1,1,,1,,,,1,1,2,1,2,2,,,,,3,3,0,1,0,1,44,1,5,1,5,47574.649392,48196.409412,1,110,15,15,5
73584,8,2,1,13,,3,3,2,158,,,1,1,,7,,,,1,1,2,1,2,2,1,2,2,1,3,3,0,1,0,2,38,1,4,1,,72700.381729,72182.239545,1,105,9,9,3.07
73585,8,2,1,28,,5,6,2,,1,1,2,1,6,,4,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,1,28,2,4,1,4,18063.143861,18590.965473,1,110,7,7,2.26
73586,8,2,2,4,,5,6,1,58,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,2,0,0,1,33,2,4,1,4,11635.2408,13569.677359,1,116,6,6,1.27
73587,8,2,1,14,,5,6,1,174,,,1,1,,8,,,,1,1,2,1,2,2,1,2,2,1,7,7,1,1,0,1,32,1,3,4,,16220.740896,15523.094127,2,115,15,15,3.33
73588,8,2,1,11,,4,4,1,140,,,1,1,,4,,,,1,1,2,1,2,2,1,2,2,1,3,3,0,2,0,2,31,1,4,5,,8424.955223,8291.078844,1,109,6,6,1.54
73589,8,2,1,35,,3,3,2,,2,,1,1,,,3,3,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,1,35,1,3,3,,57197.640964,61374.100237,1,114,5,5,1.74
73590,8,2,1,2,,1,1,1,30,,,1,1,,,,,,1,1,2,1,2,2,,,,,5,5,3,0,0,1,24,1,4,1,4,12254.739004,12849.217833,1,106,5,5,0.8
73591,8,2,1,6,,3,3,1,76,,,1,1,,0,,,,1,1,2,1,2,2,,,,,4,4,0,2,0,2,40,1,5,1,5,46374.787475,51133.1337,2,114,15,15,5
73592,8,2,1,29,,1,1,2,,2,,1,1,,,4,5,,1,2,2,1,2,2,1,2,2,1,3,1,0,0,0,1,24,,,5,,64083.310917,68450.779634,2,107,12,6,2.14
73593,8,2,1,3,,3,3,2,47,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,2,0,0,1,36,1,5,1,4,57942.40529,59265.550305,2,113,15,15,4.19
73594,8,2,1,23,,2,2,2,,2,,2,2,3,,1,5,,2,2,2,1,2,2,,,,,7,7,3,2,0,1,40,2,1,1,1,38818.867179,45736.924249,2,112,5,5,0.45
73595,8,2,1,58,,2,2,1,,1,2,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,1,58,1,4,1,3,25352.868636,25027.722535,1,111,8,8,3.09
73596,8,2,2,57,,5,6,1,,2,,2,1,7,,5,1,,1,2,2,1,2,2,1,2,2,1,3,3,0,0,0,1,59,2,5,1,5,16103.986881,16152.838244,2,106,15,15,5
73597,8,2,2,50,,4,4,1,,1,2,2,1,7,,4,6,,1,2,2,1,2,2,1,2,2,1,2,1,0,0,0,2,51,1,5,3,,37889.887895,38185.196521,1,111,15,6,2.18
73598,8,2,1,20,,1,1,1,,2,,1,1,,,2,6,,1,2,2,,,,1,2,2,1,6,6,1,1,0,2,18,1,2,,,49526.922734,59637.374349,1,106,,,
73599,8,2,2,13,,3,3,2,161,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,7,3,1,2,0,2,39,1,4,3,,25841.530979,27288.181037,2,107,8,6,1.52
73600,8,2,1,37,,4,4,2,,2,,1,1,,,3,3,,1,2,2,1,2,2,1,2,2,1,6,6,0,3,0,1,37,1,3,3,,19725.408052,20786.063147,1,114,5,5,0.63
73601,8,2,1,12,,1,1,1,149,,,1,1,,5,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,1,41,2,5,1,4,17430.855215,18842.869403,1,115,14,14,3.82
73602,8,2,1,3,,2,2,2,49,,,1,1,,,,,,1,1,2,,,,,,,,4,4,2,0,0,2,38,1,5,1,,12639.727132,12800.680063,2,110,,,
73603,8,2,1,35,,5,6,2,,2,,2,2,2,,5,1,,1,2,2,1,2,2,1,2,2,1,4,4,2,0,0,2,27,2,5,1,5,16870.916427,18698.337962,2,104,14,14,3.77
73604,8,2,2,69,,3,3,1,,2,,1,1,,,4,6,,1,2,2,1,2,2,1,2,2,1,2,1,0,0,2,1,68,2,4,6,,74230.336609,74721.457945,1,117,10,6,2.44
73605,8,2,1,13,,3,3,1,158,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,1,0,1,54,1,5,1,5,58023.09034,57916.08746,1,116,15,15,4.25
73606,8,2,1,16,,3,3,1,199,,,1,1,,10,,,,1,2,2,1,2,2,1,2,2,1,5,5,0,3,0,1,42,1,4,1,5,36814.400739,39507.031397,1,117,14,14,3.23
73607,8,2,1,75,,3,3,1,,1,2,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,2,70,1,3,1,3,17787.940939,18688.69332,2,116,4,4,1.08
73608,8,2,1,3,,5,6,1,39,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,1,1,0,2,38,2,5,1,5,6029.734531,6293.309092,1,118,3,3,0.42
73609,8,2,2,11,,1,1,1,140,,,1,1,,6,,,,2,1,2,1,2,2,1,2,2,1,5,5,1,2,0,1,32,2,1,1,2,12006.043856,12465.530134,1,116,6,6,1.09
73610,8,2,1,43,,3,3,2,,1,1,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,6,6,2,2,0,1,43,1,5,1,2,73295.590253,75125.756577,2,112,10,10,2.03
73611,8,2,2,3,,2,2,2,43,,,1,1,,,,,,2,1,2,1,2,2,,,,,7,7,3,2,0,1,40,2,1,1,1,14503.525703,15381.008532,2,112,5,5,0.45
73612,8,2,2,6,,5,6,1,76,,,1,1,,0,,,,1,1,2,1,2,2,,,,,7,7,1,3,0,2,39,2,2,1,2,9076.017134,9316.851211,1,112,7,7,0.88
73613,8,2,2,60,,4,4,2,,2,,1,1,,,2,1,,1,2,2,1,2,2,1,2,2,1,6,6,0,1,1,2,60,1,2,1,4,14374.912602,14308.015798,1,106,15,15,5
73614,8,2,2,55,,3,3,2,,2,,2,1,9,,3,2,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,2,55,2,3,2,,27773.629038,28605.446685,1,106,5,5,1.29
73615,8,2,2,65,,2,2,2,,2,,2,1,8,,1,2,,2,2,2,1,2,2,2,2,2,2,1,1,0,0,1,2,65,2,1,2,,10950.248806,10872.080055,1,104,3,3,1.22
73616,8,2,2,62,,3,3,1,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,2,62,1,4,1,5,70119.671677,71785.988653,2,108,15,15,5
73617,8,2,1,6,,1,1,2,79,,,2,1,2,1,,,,2,1,2,1,2,2,,,,,6,6,1,3,0,1,36,2,3,1,1,15897.641436,16058.875803,1,109,4,4,0.47
73618,8,2,2,54,,3,3,2,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,52,1,3,1,5,27153.124199,27752.641769,1,104,13,13,
73619,8,2,2,36,,1,1,2,,2,,2,2,5,,3,3,2,2,2,2,1,2,2,1,2,2,2,2,2,0,0,0,2,36,2,3,3,,49443.10405,48389.973357,1,109,3,3,0.84
73620,8,2,2,3,,3,3,2,45,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,1,1,0,2,33,1,5,1,5,38342.27076,53416.732289,1,104,15,15,5
73621,8,2,1,80,,3,3,2,,1,2,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,2,78,1,5,1,5,36117.581178,37406.341605,1,110,14,14,5
73622,8,2,1,72,,3,3,1,,1,2,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,1,72,1,5,1,5,57479.762312,57124.924258,1,111,14,14,5
73623,8,2,1,32,,3,3,2,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,4,4,2,0,0,2,32,1,3,1,4,69244.437969,73392.065553,2,107,14,14,3.27
73624,8,2,2,31,,3,3,1,,2,,1,1,,,1,6,1,1,2,2,1,2,2,1,2,2,1,6,6,3,0,0,2,52,1,4,3,,28291.516598,29729.350351,2,109,4,4,0.47
73625,8,1,1,13,,1,1,,,,,1,1,,7,,,,2,1,2,2,2,2,,,,,5,5,0,3,0,2,42,2,2,6,,10295.136538,0,1,118,77,77,
73626,8,2,2,72,,4,4,2,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,,4,4,0,1,2,1,76,1,1,1,3,13922.95387,15104.349307,2,116,4,4,0.78
73627,8,2,1,0,0,5,6,1,1,,,1,1,,,,,,1,1,2,1,2,2,,,,,5,5,3,0,0,1,41,2,5,1,5,6071.944686,6070.014099,2,118,15,15,3.63
73628,8,2,1,80,,3,3,1,,1,1,1,1,,,4,2,,1,2,2,1,2,2,1,2,2,,1,1,0,0,1,1,80,1,4,2,,32868.046411,34161.490249,2,104,7,7,3
73629,8,2,2,26,,4,4,2,,2,,1,1,,,4,5,2,1,2,2,1,2,2,,,,,5,5,0,1,0,1,53,1,4,1,4,27497.219866,27487.399135,1,107,14,14,3.45
73630,8,2,1,13,,5,6,1,166,,,1,1,,7,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,1,45,,,1,5,15057.425383,15160.22207,1,106,15,15,5
73631,8,2,2,56,,4,4,1,,2,,1,1,,,2,3,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,2,56,1,2,3,,26678.260372,29752.936842,1,111,2,2,0.71
73632,8,2,1,23,,1,1,1,,2,,2,2,3,,1,1,,2,2,2,1,2,2,1,2,2,2,2,2,0,0,0,2,19,1,3,,,53506.258206,56888.206263,2,109,7,7,2.48
73633,8,2,2,43,,3,3,1,,2,,1,1,,,5,1,2,1,2,2,1,2,2,1,2,2,1,4,4,0,1,0,2,43,1,5,1,4,69483.16115,69862.668846,2,115,14,14,3.56
73634,8,1,1,65,,4,4,,,2,,1,1,,,3,2,,1,1,2,1,2,2,,,,,3,3,0,0,1,1,65,1,3,2,,14047.62396,0,2,113,6,6,1.52
73635,8,2,2,4,,1,1,1,50,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,1,1,0,2,31,2,4,1,5,14290.001981,15215.239041,1,116,15,15,5
73636,8,2,2,1,23,1,1,2,23,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,1,2,0,2,50,1,4,3,,12359.183686,12902.633666,1,109,14,14,3.82
73637,8,2,2,2,,3,3,2,25,,,1,1,,,,,,1,1,2,1,2,2,,,,,5,5,3,0,0,2,28,1,5,1,3,28201.218549,29014.714132,2,107,2,2,0.3
73638,8,2,2,63,,5,7,1,,2,,1,1,,,4,2,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,1,2,63,1,4,2,,37647.755368,38961.542319,1,115,6,6,2.18
73639,8,2,1,71,,3,3,1,,2,,1,1,,,2,1,,1,2,2,1,2,2,1,2,2,,5,5,1,0,2,1,71,1,2,1,4,43379.068525,42642.037692,1,116,7,7,1.45
73640,8,2,2,67,,4,4,2,,2,,1,1,,,4,3,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,1,2,67,1,4,3,,15937.838923,16596.936217,2,116,6,6,2.23
73641,8,2,2,64,,3,3,1,,2,,1,1,,,4,3,,1,2,2,1,2,2,,,,,1,1,0,0,1,2,64,1,4,3,,101153.817481,102099.513184,2,109,2,2,0.77
73642,8,2,2,57,,3,3,1,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,3,3,0,0,0,1,55,1,1,1,3,33644.734694,34652.391419,2,115,8,8,2.27
73643,8,2,1,62,,5,6,1,,2,,2,1,7,,4,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,2,1,62,2,4,1,4,14746.098191,15654.365466,1,117,1,1,0
73644,8,2,1,8,,5,7,2,103,,,1,1,,2,,,,1,1,2,1,2,2,1,2,2,1,6,6,1,3,0,2,38,1,3,6,,8558.217715,8836.63083,2,113,7,7,1.13
73645,8,2,2,54,,3,3,1,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,6,6,0,1,0,1,55,1,4,1,4,56722.423045,57900.271904,2,106,15,15,5
73646,8,2,1,4,,1,1,1,52,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,1,1,0,2,43,1,5,1,5,12789.610852,12950.350063,1,117,15,15,4.25
73647,8,2,2,61,,2,2,2,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,3,3,0,1,2,1,61,1,2,1,3,13036.074129,13008.28149,1,109,10,10,3.53
73648,8,2,2,16,,4,4,2,200,,,1,1,,11,,,,1,2,2,1,2,2,1,2,2,1,4,4,0,1,0,2,42,1,4,1,4,8306.433436,10885.883987,2,104,15,15,5
73649,8,1,1,3,,3,3,,,,,1,1,,,,,,1,1,2,1,2,2,,,,,5,5,3,0,0,2,23,1,3,4,,17692.435734,0,2,116,2,2,0.31
73650,8,2,1,6,,5,7,1,77,,,1,1,,0,,,,1,1,2,1,2,2,,,,,6,6,1,2,0,2,50,1,5,3,,9477.593233,11997.409698,2,106,10,10,2.19
73651,8,2,2,6,,4,4,2,75,,,1,1,,0,,,,1,1,2,1,2,2,,,,,4,4,1,1,0,1,36,1,4,1,5,7369.062501,7280.506713,2,105,9,9,2.31
73652,8,2,2,54,,4,4,1,,2,,1,1,,,3,1,,1,2,2,1,2,2,,,,,2,2,0,0,0,2,54,1,3,1,4,20545.181159,20705.307503,2,114,9,9,3.81
73653,8,2,2,10,,4,4,1,124,,,1,1,,4,,,,1,1,2,1,2,2,1,2,2,1,6,6,0,4,0,1,31,1,3,6,,9554.347103,9644.938244,2,114,3,3,0.38
73654,8,2,1,46,,3,3,2,,2,,1,1,,,1,5,,1,1,2,1,2,2,1,1,2,,3,3,0,0,0,2,57,1,4,1,2,20907.521769,21039.644636,1,106,4,4,1
73655,8,2,1,44,,4,4,1,,1,1,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,5,5,1,2,0,1,44,1,3,1,3,17166.56477,17125.17752,2,106,8,8,1.79
73656,8,2,1,54,,3,3,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,4,4,0,1,0,1,54,1,5,1,5,77809.996236,78471.254533,1,116,15,15,4.25
73657,8,2,2,19,,1,1,2,234,2,,1,1,,11,,,,1,2,2,1,2,2,,,,,5,5,2,0,0,2,40,1,3,3,,17082.709547,17193.582771,1,107,7,7,1.45
73658,8,2,1,35,,5,6,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,3,3,1,0,0,1,35,1,5,1,5,14743.682904,15648.040484,1,117,15,15,5
73659,8,2,2,70,,3,3,1,,2,,1,1,,,4,2,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,2,70,1,4,2,,48194.233481,48670.994201,1,117,6,6,1.93
73660,8,2,1,59,,5,6,2,,2,,2,2,3,,5,1,,1,2,1,1,2,1,1,2,1,3,3,3,0,1,0,2,44,2,5,1,5,16433.426266,17997.997114,2,104,7,7,1.82
73661,8,2,1,25,,4,4,1,,2,,2,1,99,,4,5,,1,2,2,1,2,2,1,2,2,1,3,3,0,0,0,2,51,1,5,4,,24511.409395,24784.598492,2,114,7,7,2.02
73662,8,2,1,39,,3,3,2,,2,,1,1,,,4,5,,1,2,2,1,2,2,,,,,4,3,0,0,1,1,53,1,3,3,,16701.797849,16832.517457,2,112,3,3,0.61
73663,8,2,1,25,,3,3,2,,2,,1,1,,,5,5,,1,2,2,1,2,2,1,2,2,1,2,1,0,0,0,1,25,1,5,5,,69362.260229,68946.240895,2,117,15,9,5
73664,8,2,2,5,,1,1,1,62,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,1,1,0,1,29,1,4,1,4,15102.971143,16326.737883,2,109,14,14,3.14
73665,8,2,1,59,,1,1,2,,2,,2,2,77,,1,4,,2,2,2,1,2,2,2,2,2,2,2,2,0,0,0,1,59,2,1,4,,17889.499441,18210.210305,2,117,1,1,0.03
73666,8,2,1,70,,5,6,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,1,70,1,5,1,4,15855.011733,16106.697971,2,106,9,9,3.81
73667,8,2,1,24,,3,3,2,,1,2,1,1,,,4,6,,1,2,2,1,2,2,1,2,2,1,5,5,2,1,0,2,30,1,2,6,,31174.074739,32349.363631,2,107,4,4,0.65
73668,8,2,2,30,,3,3,2,,2,,1,1,,,4,5,2,1,2,2,1,2,2,1,2,2,1,7,7,2,4,0,2,30,1,4,5,,28884.38512,30352.349685,2,115,8,8,1.43
73669,8,2,1,4,,4,4,2,52,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,2,0,0,1,21,1,3,1,4,14894.300241,16913.018873,1,106,5,5,0.96
73670,8,2,2,71,,1,1,2,,2,,2,2,9,,1,2,,2,2,2,2,2,2,2,2,2,,1,1,0,0,1,2,71,2,1,2,,15174.746412,15877.769625,1,109,3,3,0.87
73671,8,2,1,49,,4,4,1,,2,,1,1,,,2,5,,1,2,2,1,2,2,,,,,1,1,0,0,0,1,49,1,2,5,,26355.014554,27110.497857,2,114,3,3,0.86
73672,8,2,1,73,,3,3,2,,1,2,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,1,73,1,4,1,5,59598.753457,59465.072125,1,109,14,14,5
73673,8,2,1,45,,3,3,1,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,1,45,1,5,1,5,122492.425862,125551.020684,2,111,15,15,5
73674,8,2,2,45,,3,3,2,,2,,2,1,7,,5,1,,1,2,2,1,2,2,1,2,2,1,5,5,0,1,0,1,46,1,5,1,5,47911.929999,48214.248422,2,105,12,12,
73675,8,2,1,29,,5,6,1,,2,,2,2,3,,3,1,,1,2,1,1,2,1,1,2,1,1,3,3,1,0,0,2,28,2,3,1,3,17562.57913,18733.93248,1,118,4,4,0.87
73676,8,2,1,44,,3,3,2,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,4,4,0,2,0,2,38,1,5,1,4,100857.701196,106739.035267,2,113,10,10,2.73
73677,8,2,2,61,,4,4,2,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,2,1,71,1,5,1,4,13072.88574,13207.281267,1,104,15,15,5
73678,8,2,1,51,,3,3,2,,1,1,1,1,,,2,1,,1,2,2,1,2,2,1,2,2,1,5,5,2,1,0,1,51,1,2,1,,22004.084169,22191.083063,1,109,6,6,1.02
73679,8,2,2,1,23,1,1,1,23,,,1,1,,,,,,2,1,2,1,2,2,,,,,5,5,2,1,0,1,35,1,3,1,3,12171.037914,13157.235349,1,106,7,7,1.52
73680,8,2,1,12,,3,3,2,151,,,1,1,,7,,,,1,1,2,1,2,2,1,2,2,1,3,3,0,1,0,2,44,1,5,3,,59123.958559,64069.672991,1,110,8,8,2.46
73681,8,2,2,9,,4,4,2,118,,,1,1,,3,,,,1,1,2,1,2,2,1,2,2,,5,5,1,3,0,2,28,1,3,5,,9840.926996,10508.68508,2,108,6,6,1.07
73682,8,2,2,3,,4,4,1,38,,,1,1,,,,,,1,1,2,1,2,2,,,,,3,3,1,1,0,2,31,1,3,5,,10644.36537,11018.161403,2,108,2,2,0.36
73683,8,2,2,2,,5,7,2,34,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,2,0,0,1,36,1,5,1,5,13553.483974,15628.491997,2,107,8,8,2.12
73684,8,2,1,64,,5,6,2,,2,,2,1,7,,5,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,1,64,2,5,1,5,21780.043291,22985.770887,2,113,15,15,5
73685,8,2,2,0,1,5,7,2,1,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,3,1,0,0,1,47,1,4,1,,8382.291691,8930.155715,1,114,6,5,1.02
73686,8,2,2,7,,1,1,2,92,,,1,1,,1,,,,1,1,2,1,2,2,,,,,6,6,0,3,0,1,24,77,7,1,3,18881.877722,20774.857101,2,107,5,5,0.63
73687,8,2,1,8,,3,3,1,99,,,1,1,,1,,,,1,1,2,1,2,2,1,2,2,1,4,4,0,2,0,1,55,1,3,1,3,18183.508356,18467.47473,1,113,4,4,0.72
73688,8,2,1,58,,3,3,1,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,1,2,68,1,5,1,3,111416.034907,112268.202205,2,109,10,10,4.45
73689,8,1,1,54,,3,3,,,1,2,1,1,,,5,1,,1,2,2,1,2,2,,,,,3,3,0,0,0,1,54,1,5,1,3,90641.606893,0,1,112,15,15,5
73690,8,2,2,77,,3,3,2,,2,,1,1,,,4,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,1,78,1,2,1,4,64291.332105,63967.668022,1,114,8,8,3.09
73691,8,2,1,14,,3,3,2,171,,,1,1,,7,,,,1,1,2,1,2,2,1,2,2,1,6,6,0,1,2,1,65,1,4,1,4,87294.559326,89715.949242,2,109,8,8,1.56
73692,8,2,1,65,,2,2,1,,2,,2,2,6,,3,1,,2,2,2,1,2,2,2,2,2,2,2,2,0,0,2,2,64,2,4,1,3,19223.252968,19134.135451,1,111,6,6,1.61
73693,8,2,2,78,,3,3,2,,2,,1,1,,,2,3,,1,2,2,1,2,2,1,2,2,,1,1,0,0,1,2,78,1,2,3,,19802.214967,21566.209667,1,105,2,2,0.78
