,tweet,favourite_count,retweet_count,tweet_cleaned,subjectivity,polarity,polarity_analysis,subjectivity_analysis,type
20,casi compro un Airtag para colgar en mi celular …. literally worms for brains 😐,0.0,0,casi compro un Airtag para colgar en mi celular . literally worms for brains,0.0,0.0,Neutral,Objective,Neutral and Objective
21,@DCForReal1 Yea i saw these. I ordered the phone case that holds the airtag,0.0,0,Yea i saw these. I ordered the phone case that holds the airtag,0.0,0.0,Neutral,Objective,Neutral and Objective
22,Why Apples new AirTag is a no-brainer purchase for #IPHONE owners https://t.co/WQuHPCtFLM #Tweet4Mee,0.0,0,Why Apples new AirTag is a no-brainer purchase for owners,0.45454545454545453,0.13636363636363635,Positive,Objective,Positive and Objective
23,I can't believe I was given an airtag so I'd be able to find my keys and now the airtag is missing lmao,0.0,0,I can't believe I was given an airtag so I'd be able to find my keys and now the airtag is missing lmao,0.5583333333333333,0.3,Positive,Subjective,Positive and Subjective
24,#Apple AirTag hacked by security researchers days after it was released https://t.co/k1lwkoJRn6 via @MailOnline #AirTags #Security,2.0,0,AirTag hacked by security researchers days after it was released via,0.0,0.0,Neutral,Objective,Neutral and Objective
25,Maybe best to pay a bit more for the Leather Loop https://t.co/f2oZ1u6BDZ,1.0,0,Maybe best to pay a bit more for the Leather Loop,0.4,0.75,Positive,Objective,Positive and Objective
26,Friends what do you think about Apple Airtag comment below?@airtags https://t.co/9BK843WKY4,0.0,0,Friends what do you think about Apple Airtag comment below?,0.0,0.0,Neutral,Objective,Neutral and Objective
27,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/ylGcdr99Qj,0.0,0,How Apples AirTag turns us into unwitting spies in a vast surveillance network,1.0,0.0,Neutral,Subjective,Neutral and Subjective
28,Thought I misplaced something then I remember my airtag is attached to it☺️ https://t.co/YwQcD3ETHc,0.0,0,Thought I misplaced something then I remember my airtag is attached to it,0.2,-0.2,Negative,Objective,Negative and Objective
29,"Need an AirTag for slippers, legit dont remember where I left them.",1.0,0,"Need an AirTag for slippers, legit dont remember where I left them.",0.0,0.0,Neutral,Objective,Neutral and Objective
30,"“Everyone’s iPhone (assuming Bluetooth is enabled) is listening for AirTags. When it “hears” one, it uploads details of that tag’s identifier and the phone’s location to Apple’s servers.” - How Apple’s AirTag turns us into unwitting spies in a... https://t.co/KrTaTaHrrO",0.0,0,"Everyones iPhone (assuming Bluetooth is enabled) is listening for AirTags. When it hears one, it uploads details of that tags identifier and the phones location to Apples servers. - How Apples AirTag turns us into unwitting spies in a...",0.0,0.0,Neutral,Objective,Neutral and Objective
31,Pinche airtag cost less than the cover😂😂,0.0,0,Pinche airtag cost less than the cover,0.06666666666666667,-0.16666666666666666,Negative,Objective,Negative and Objective
32,Apple’s new AirTags “can only work by tapping into an Apple-operated surveillance network in which millions of us are unwitting participants” @pdowland via @guardian | #surveillance #AirTag #Apple  https://t.co/3ySayW3VwO,0.0,0,Apples new AirTags can only work by tapping into an Apple-operated surveillance network in which millions of us are unwitting participants via |,0.7272727272727273,0.06818181818181818,Positive,Subjective,Positive and Subjective
33,i impulsively bought an airtag for what idk but i’m sure i’ll need it,0.0,0,i impulsively bought an airtag for what idk but im sure ill need it,0.9444444444444444,0.0,Neutral,Subjective,Neutral and Subjective
34,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/cm9KUFhwYq https://t.co/Wo2dPrDy72,0.0,0,How Apples AirTag turns us into unwitting spies in a vast surveillance network,1.0,0.0,Neutral,Subjective,Neutral and Subjective
35,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/K85tQkWKQH,6.0,2,How Apples AirTag turns us into unwitting spies in a vast surveillance network,1.0,0.0,Neutral,Subjective,Neutral and Subjective
36,@kyliebaker888 @dan___kim I thought about airtag as well. So useful in other settings. 4 packs $99.,0.0,0,I thought about airtag as well. So useful in other settings. packs $99.,0.1875,0.0875,Positive,Objective,Positive and Objective
37,Better buy this airtag before lose this new wallet. Literally would kill myself if I lost it since its a gift 😭,1.0,0,Better buy this airtag before lose this new wallet. Literally would kill myself if I lost it since its a gift,0.4772727272727273,0.3181818181818182,Positive,Objective,Positive and Objective
38,my keyring for my airtag still hasn’t arrived and tape was agony so i did the next best thing and attached it using fishing line 💀 https://t.co/CRyHo674aD,0.0,0,my keyring for my airtag still hasnt arrived and tape was agony so i did the next best thing and attached it using fishing line,0.15,0.5,Positive,Objective,Positive and Objective
39,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/RAHhPVNCJx,12.0,6,How Apples AirTag turns us into unwitting spies in a vast surveillance network,1.0,0.0,Neutral,Subjective,Neutral and Subjective
40,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/uG7VNi5x4z,1.0,2,How Apples AirTag turns us into unwitting spies in a vast surveillance network,1.0,0.0,Neutral,Subjective,Neutral and Subjective
41,"@juneforceone @mrleblanc101 @xbachl @SnazzyQ while the airtag just has an arrow, this has a bubble effect around the tag itself so you can find it much much easier",4.0,0,"while the airtag just has an arrow, this has a bubble effect around the tag itself so you can find it much much easier",0.2,0.2,Positive,Objective,Positive and Objective
42,New AppleTV remote should have an airtag built into it. 🤷🏻‍♂️,2.0,0,New AppleTV remote should have an airtag built into it.,0.32727272727272727,0.018181818181818174,Positive,Objective,Positive and Objective
43,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/vvBMYEztc7,0.0,0,How Apples AirTag turns us into unwitting spies in a vast surveillance network,1.0,0.0,Neutral,Subjective,Neutral and Subjective
44,Buying an AirTag for review... https://t.co/EGiskyEd2V,1.0,0,Buying an AirTag for review...,0.0,0.0,Neutral,Objective,Neutral and Objective
45,#Apple #Dataandcomputersecurity How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/ft7BblnuI1,0.0,0,How Apples AirTag turns us into unwitting spies in a vast surveillance network,1.0,0.0,Neutral,Subjective,Neutral and Subjective
46,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/KFyPStmVe5 #Apple #Dataandcomputersecurity #Dataprotection #Surveillance,0.0,0,How Apples AirTag turns us into unwitting spies in a vast surveillance network,1.0,0.0,Neutral,Subjective,Neutral and Subjective
47,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network: https://t.co/hlRXuZg1CH,0.0,0,How Apples AirTag turns us into unwitting spies in a vast surveillance network:,1.0,0.0,Neutral,Subjective,Neutral and Subjective
48,The Guardian: How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/h5tS79xyiA https://t.co/cfWd1EcpFM,0.0,0,The Guardian: How Apples AirTag turns us into unwitting spies in a vast surveillance network,1.0,0.0,Neutral,Subjective,Neutral and Subjective
49,"Me: Putting an AirTag on AirPods is dumb. 

Also me: I can’t find my AirPods.",1.0,0,Me: Putting an AirTag on AirPods is dumb. Also me: I cant find my AirPods.,0.5,-0.375,Negative,Neutral,Negative and Neutral
50,"Accurately track your bags, keys and more with the new Apple AirTags

Price: $29.99
Link: https://t.co/hWcw25mYu3

Grab a holder for your AirTags here as well: https://t.co/LOKzv0Xdi5 https://t.co/B9ouJbVvwR",0.0,0,"Accurately track your bags, keys and more with the new Apple AirTagsPrice: $29.99Link: a holder for your AirTags here as well:",0.5292929292929293,0.3454545454545455,Positive,Subjective,Positive and Subjective
51,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network: The tech giant says it has security safeguards in place. But these tracking devices can be hacked and put to other nefarious purposes Apple has launched the latest version… https://t.co/XRQWLgYhvd https://t.co/ju7w0B2VYP,0.0,0,How Apples AirTag turns us into unwitting spies in a vast surveillance network: The tech giant says it has security safeguards in place. But these tracking devices can be hacked and put to other nefarious purposes Apple has launched the latest version,0.81875,0.09375,Positive,Subjective,Positive and Subjective
52,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/u3L5N0fIVM #cybersecurity,0.0,3,How Apples AirTag turns us into unwitting spies in a vast surveillance network,1.0,0.0,Neutral,Subjective,Neutral and Subjective
53,@SatoshiSarah @JeremyRubin @antoniogm Sure for your AirTag😎,1.0,0,Sure for your AirTag,0.8888888888888888,0.5,Positive,Subjective,Positive and Subjective
54,Next big idea: airtag sniffer https://t.co/43lZCKrdli,0.0,0,Next big idea: airtag sniffer,0.05,0.0,Neutral,Objective,Neutral and Objective
55,Apple AirTag hacked again – free internet with no mobile data plan! https://t.co/RGnp0qOlhR #security #data #hacking #hacker,0.0,0,Apple AirTag hacked again free internet with no mobile data plan!,0.8,0.5,Positive,Subjective,Positive and Subjective
56,@agiletortoise @prendio2 Am I right the privacy features of the airtag it will tell you when you're wearing someone else's pants?,1.0,0,Am I right the privacy features of the airtag it will tell you when you're wearing someone else's pants?,0.5357142857142857,0.2857142857142857,Positive,Subjective,Positive and Subjective
57,"Convenience vs #privacy... The Apple #AirTag debate. @ECUSRI's @pdowland breaks down the useful and concerning aspects of Apple's latest gadget.
https://t.co/C8lcRarCME",1.0,0,Convenience vs ... The Apple debate. 's breaks down the useful and concerning aspects of Apple's latest gadget.,0.3962962962962963,0.2148148148148148,Positive,Objective,Positive and Objective
58,@SteveMoser @SnazzyQ I’ve lost my AirPods twice. Each time it was when they were in the case so Find My didn’t help. If there was a U1 always active like AirTag I could find them way easier.,7.0,0,Ive lost my AirPods twice. Each time it was when they were in the case so Find My didnt help. If there was a U1 always active like AirTag I could find them way easier.,0.6,-0.13333333333333333,Negative,Subjective,Negative and Subjective
59,@SnazzyQ I think it is amazing. Could be better if showing the height but it saved my ass just yesterday couldn’t hear anything it was so loud where I was but with uw it directed me to the airtag.,0.0,0,I think it is amazing. Could be better if showing the height but it saved my ass just yesterday couldnt hear anything it was so loud where I was but with uw it directed me to the airtag.,0.7333333333333334,0.4000000000000001,Positive,Subjective,Positive and Subjective
60,Girls ain’t stealing my backpack again next year! Got that Apple AirTag on its way💪,2.0,0,Girls aint stealing my backpack again next year! Got that Apple AirTag on its way,0.0,0.0,Neutral,Objective,Neutral and Objective
61,"store is here, please buy one and keep him out of trouble this summer https://t.co/2QsPUIp50X",5.0,0,"store is here, please buy one and keep him out of trouble this summer",0.2,-0.2,Negative,Objective,Negative and Objective
62,I asked a friend to drop an AirTag somewhere in town to see if I could find it. https://t.co/sgAZT99KcB,1.0,0,I asked a friend to drop an AirTag somewhere in town to see if I could find it.,0.0,0.0,Neutral,Objective,Neutral and Objective
63,"Parenting tip. When you go to Disneyland, put an AirTag in each child’s pocket.
Now if they wander off you can know exactly where they are.",3.0,0,"Parenting tip. When you go to Disneyland, put an AirTag in each childs pocket.Now if they wander off you can know exactly where they are.",0.25,0.25,Positive,Objective,Positive and Objective
64,What’s the point of an Airtag?,1.0,0,Whats the point of an Airtag?,0.0,0.0,Neutral,Objective,Neutral and Objective
65,"I bought an AirTag and received it a week ago, but all the keychain accessories are on back order so basically it’s useless right now.",0.0,0,"I bought an AirTag and received it a week ago, but all the keychain accessories are on back order so basically its useless right now.",0.24523809523809526,-0.07142857142857144,Negative,Objective,Negative and Objective
66,@gplama the wahoo cadence sensor holders double nicely as an AirTag keychain 👌 https://t.co/D6wujHjBLw,17.0,1,the wahoo cadence sensor holders double nicely as an AirTag keychain,0.5,0.3,Positive,Neutral,Positive and Neutral
67,Are you being stalked with an AirTag? That's how you turn it off https://t.co/H7q2m1qIxs via @techlargest,1.0,0,Are you being stalked with an AirTag? That's how you turn it off via,0.0,0.0,Neutral,Objective,Neutral and Objective
68,@SnazzyQ I’m more curious about the AR Finder feature of Samsung SmartTag+ That leverage UWB to shown the exact location of the tracker on the camera instead of just directions like AirTag. https://t.co/t8ZmzmJe1s,26.0,0,Im more curious about the AR Finder feature of Samsung SmartTag+ That leverage UWB to shown the exact location of the tracker on the camera instead of just directions like AirTag.,0.5833333333333334,0.21666666666666667,Positive,Subjective,Positive and Subjective
69,"@SnazzyQ To me, the thing that makes the AirTag 100% better than any other tracker is the iOS network. Everything else is just 🤷‍♂️",5.0,0,"To me, the thing that makes the AirTag % better than any other tracker is the iOS network. Everything else is just",0.4375,0.1875,Positive,Objective,Positive and Objective
70,"Perhaps this is just me, but I don’t find the AirTag U1 chip to be all that useful. By the time the signal is strong enough to demonstrate direction it’s basically already line of sight.",470.0,6,"Perhaps this is just me, but I dont find the AirTag U1 chip to be all that useful. By the time the signal is strong enough to demonstrate direction its basically already line of sight.",0.41111111111111115,0.24444444444444444,Positive,Objective,Positive and Objective
71,The question that comes to my mind is why? A researcher claims to hack AirTag so it points to the wrong website when scanned via @MashableSEA #tech #Apple #AirTags https://t.co/wNKzF1srS1 https://t.co/Rw2WiBiAvc,0.0,0,The question that comes to my mind is why? A researcher claims to hack AirTag so it points to the wrong website when scanned via,0.9,-0.5,Negative,Subjective,Negative and Subjective
72,My #3DPrinted #AirTag holder is a perfect fit (after using a heatgun to warm it up) https://t.co/gwNcbPkypi https://t.co/2rkiIiGdNM,2.0,0,My holder is a perfect fit (after using a heatgun to warm it up),0.6666666666666666,0.6666666666666666,Positive,Subjective,Positive and Subjective
73,Brb while I order an airtag,0.0,0,Brb while I order an airtag,0.0,0.0,Neutral,Objective,Neutral and Objective
74,"Bought yourself an Apple AirTag to track your purse, keys, wallet or briefcase? Here's how to set it up to make sure it works great and helps you find whatever you seek! https://t.co/NeGuIoPBL9 #apple #airtags #privacy #setup https://t.co/GjwM54Bdgm",2.0,0,"Bought yourself an Apple AirTag to track your purse, keys, wallet or briefcase? Here's how to set it up to make sure it works great and helps you find whatever you seek!",0.8194444444444444,0.75,Positive,Subjective,Positive and Subjective
75,Can someone buy me a airtag @_Kasharaaa ?,0.0,0,Can someone buy me a airtag ?,0.0,0.0,Neutral,Objective,Neutral and Objective
76,Why did my mom just call an #AirTag a go me? What??? 🤣🤣🤣,0.0,0,Why did my mom just call an a go me? What???,0.0,0.0,Neutral,Objective,Neutral and Objective
77,https://t.co/59dlzw5Icz Specific Apple phones. Anyone know one that either works with #Android or older #Apple,0.0,0,Specific Apple phones. Anyone know one that either works with or older,0.22916666666666666,0.08333333333333333,Positive,Objective,Positive and Objective
78,These people pick up my @apple #airtag and then this happened!  Watch at the end. https://t.co/98FoxT2MgO,1.0,0,These people pick up my and then this happened! Watch at the end.,0.0,0.0,Neutral,Objective,Neutral and Objective
79,"https://t.co/9mzQDn7Sw7
Airtag Mabo Jambo for IPhone lover's baby 😂",0.0,0,Mabo Jambo for IPhone lover's baby,0.0,0.0,Neutral,Objective,Neutral and Objective
80,I fucking lost my wallet lol. I’m forsure gonna need a airtag,0.0,0,I fucking lost my wallet lol. Im forsure gonna need a airtag,0.75,0.10000000000000003,Positive,Subjective,Positive and Subjective
81,Got Kovu an Apple AirTag so he can stunt like his daddy 😎,1.0,0,Got Kovu an Apple AirTag so he can stunt like his daddy,0.0,0.0,Neutral,Objective,Neutral and Objective
82,I added a little note in the AirTag case with my name and number. So I’m hoping to catch him today and start my experiment and get an idea where he goes. Stayed tuned for updates 😺7/,1.0,0,I added a little note in the AirTag case with my name and number. So Im hoping to catch him today and start my experiment and get an idea where he goes. Stayed tuned for updates /,0.5,-0.1875,Negative,Neutral,Negative and Neutral
83,"Today I got an Apple AirTag which is designed to locate lost items like keys, but it’s been shown to be able to track unsuspecting people like spouses finding cheating spouses. So I decided why not track the cat? 6/ https://t.co/FoneoNGO7D",0.0,0,"Today I got an Apple AirTag which is designed to locate lost items like keys, but its been shown to be able to track unsuspecting people like spouses finding cheating spouses. So I decided why not track the cat? /",0.625,0.5,Positive,Subjective,Positive and Subjective
84,Apple #AirTag already #hacked by security researcher. Read how they did it. #AppleAAirTag #iphone #security #cybersecurity #technews #technology #Apple https://t.co/JGqu5JCGq1,2.0,2,Apple already by security researcher. Read how they did it.,0.0,0.0,Neutral,Objective,Neutral and Objective
85,i got an airtag for my dog but tbh i need a few for myself bc i lose everything https://t.co/lB6oXDOYiN,34.0,0,i got an airtag for my dog but tbh i need a few for myself bc i lose everything,0.1,-0.2,Negative,Objective,Negative and Objective
86,"We have welcomed into our lives an entire ecosystem of dubious tracking tools designed with minimal safeguards against abuse, @alfunk writes https://t.co/o27EUkrZo1 PostOpinions",0.0,0,"We have welcomed into our lives an entire ecosystem of dubious tracking tools designed with minimal safeguards against abuse, writes PostOpinions",0.6125,-0.05,Negative,Subjective,Negative and Subjective
87,"We have welcomed into our lives an entire ecosystem of dubious tracking tools designed with minimal safeguards against abuse, @alfunk writes https://t.co/m4VWD7dXWH",3.0,0,"We have welcomed into our lives an entire ecosystem of dubious tracking tools designed with minimal safeguards against abuse, writes",0.6125,-0.05,Negative,Subjective,Negative and Subjective
88,"@LetsBaco @AirTag_ Oh, okay! Physical ones are usually easier lol",0.0,0,"Oh, okay! Physical ones are usually easier lol",0.3982142857142857,0.29375,Positive,Objective,Positive and Objective
89,"My AirTag review:

The AirTag is genius. The keychain bit is garbage.",22.0,0,My AirTag review:The AirTag is genius. The keychain bit is garbage.,0.0,0.0,Neutral,Objective,Neutral and Objective
90,Tempted to order an AirTag for my old dog because she is deaf and we always lose her in the yard daily cause she can’t hear us call her 😭,3.0,0,Tempted to order an AirTag for my old dog because she is deaf and we always lose her in the yard daily cause she cant hear us call her,0.1,0.05,Positive,Objective,Positive and Objective
91,"#Apple #AirTag #hacked again – free #internet with no #mobile data plan! (But, with small twist of latency issue)

#cybersecurity #infosec #hacking #IoT #ThreatIntel #riskmanagement #CISO #privacy #dataprotection 

@ciso360 

https://t.co/qrB6qVxIrZ",1.0,0,"again free with no data plan! (But, with small twist of latency issue)",0.6000000000000001,0.125,Positive,Subjective,Positive and Subjective
92,Security researcher successfully jailbreaks an Apple AirTag https://t.co/pmrxCVcXnJ,0.0,0,Security researcher successfully jailbreaks an Apple AirTag,0.95,0.75,Positive,Subjective,Positive and Subjective
93,@FourCornerTech @AirTag_ I also closed my eyes and was not on a physical keyboard a onscreen one,1.0,0,I also closed my eyes and was not on a physical keyboard a onscreen one,0.12142857142857143,-0.05,Negative,Objective,Negative and Objective
94,"@nymodelelite @audreysofiavip This is my nightmare. If you’re an iPhone user, look into AirTags. I just bought a set for when I start traveling again. I hope your bag turns up! https://t.co/j2j0UjP4jq",1.0,0,"This is my nightmare. If youre an iPhone user, look into AirTags. I just bought a set for when I start traveling again. I hope your bag turns up!",0.0,0.0,Neutral,Objective,Neutral and Objective
95,"IHU Silicone Shockproof PU Leather AirTag Case Shell Location Tracker Protector Keychain Hook, Bluetooth Finder Protective Cover, Keychain for Air Tags, Bluetooth Finder Case for Airtags https://t.co/gSnSGWLfaW",0.0,0,"IHU Silicone Shockproof PU Leather AirTag Case Shell Location Tracker Protector Keychain Hook, Bluetooth Finder Protective Cover, Keychain for Air Tags, Bluetooth Finder Case forAirtags",0.0,0.0,Neutral,Objective,Neutral and Objective
96,When your fiancé accidentally leaves her phone at home but there’s an AirTag attached to her purse. https://t.co/r9nIaAG7k3,2.0,0,When your fianc accidentally leaves her phone at home but theres an AirTag attached to her purse.,0.0,0.0,Neutral,Objective,Neutral and Objective
97,@LetsBaco @AirTag_ Nice try!,0.0,0,Nice try!,1.0,0.75,Positive,Subjective,Positive and Subjective
98,Hey guys! I made a snazzy new video about my new AirTag Bike Reflector: https://t.co/nWP1j1PGei,0.0,0,Hey guys! I made a snazzy new video about my new AirTag Bike Reflector:,0.45454545454545453,0.13636363636363635,Positive,Objective,Positive and Objective
99,"What if someone has attached Airtag on my car without informing me, I don’t use iPhone 11 or later, suppose I m using Android from 2019 without UWB chip, will I be able to catch that Airtag? Or that person will keep tracking me?@Apple @jon_prosser @MKBHD @UnboxTherapy @ijustine",0.0,0,"What if someone has attached Airtag on my car without informing me, I dont use iPhone or later, suppose I m using Android from without UWB chip, will I be able to catch that Airtag? Or that person will keep tracking me?",0.3125,0.25,Positive,Objective,Positive and Objective
100,"One AirTag is 4 klippa, ☝🏾",0.0,0,"One AirTag is klippa,",0.0,0.0,Neutral,Objective,Neutral and Objective
101,#concept AirTag + O.M.G cable code,0.0,0,AirTag + O.M.G cable code,0.0,0.0,Neutral,Objective,Neutral and Objective
102,"16 Minutes #62: Apple Event: Desktops &amp; Tablets Converge, Cord-Cutting, &amp; “Find Anything” https://t.co/JFPNFvwGqi",0.0,0,"Minutes : Apple Event: Desktops &amp; Tablets Converge, Cord-Cutting, &amp; Find Anything",0.0,0.0,Neutral,Objective,Neutral and Objective
103,Apple AirTag Spills Its Secrets https://t.co/Gmmq7lpBTO,1.0,0,Apple AirTag Spills Its Secrets,0.0,0.0,Neutral,Objective,Neutral and Objective
104,JJ AirTag https://t.co/yoToEBeD5K,4.0,1,JJ AirTag,0.0,0.0,Neutral,Objective,Neutral and Objective
105,"NEW #Apple AirTag Tracking Chips are in stock!

Grab 1 for $29!

Accessories $5 --&gt; 

- Built-in speaker to help find your things

- Find items further away w/ help of other #Apple devices in the Find My network #Deal

 https://t.co/owJnLVpkTW https://t.co/cVMOjRS9om",0.0,0,NEW AirTag Tracking Chips are in stock!Grab for $29!Accessories $5 --&gt; - Built-in speaker to help find your things- Find items further away w/ help of other devices in the Find My network,0.4431818181818182,0.0037878787878787845,Positive,Objective,Positive and Objective
106,"NEW Apple AirTag Tracking Chips are in stock!

Grab 1 for $29!
https://t.co/rgQ4VFTzCK

Accessories $5 --&gt; https://t.co/YXSjJE0Fo5

- Built-in speaker to help find your things

- Find items further away w/ help of other Apple devices in the Find My network https://t.co/c06RnYOl5R",16.0,1,NEW Apple AirTag Tracking Chips are in stock!Grab for $29! $5 --&gt; Built-in speaker to help find your things- Find items further away w/ help of other Apple devices in the Find My network,0.4431818181818182,0.015151515151515147,Positive,Objective,Positive and Objective
107,Finding keys differs from tracking millions of parts in a #Manufacturing plant. @Apple’s AirTag finds keys. AirFinder optimizes your plant. https://t.co/c6w2Rz966I,0.0,0,Finding keys differs from tracking millions of parts in a plant. AirTag finds keys. AirFinder optimizes your plant.,0.0,0.0,Neutral,Objective,Neutral and Objective
108,y'all tryna hide a rose quartz in my car i'm putting an Apple Airtag in yo purse😈,1.0,0,y'all tryna hide a rose quartz in my car i'm putting an Apple Airtag in yo purse,0.95,0.6,Positive,Subjective,Positive and Subjective
109,Video of an AirTag test for a simulated bike theft - 9to5Mac https://t.co/UuYUa9xowE,0.0,0,Video of an AirTag test for a simulated bike theft - to5Mac,0.0,0.0,Neutral,Objective,Neutral and Objective
110,Lack of family sharing hinder Apple AirTag’s potential compare to @TheTileApp https://t.co/eDkWNRIQxB,1.0,0,Lack of family sharing hinder Apple AirTags potential compare to,1.0,0.0,Neutral,Subjective,Neutral and Subjective
111,"Imma put an AirTag on a kid, and release it into the wild",5.0,0,"Imma put an AirTag on a kid, and release it into the wild",0.4,0.1,Positive,Objective,Positive and Objective
112,What if you never lost anything ever again? https://t.co/rDUXSCLVip,2.0,0,What if you never lost anything ever again?,0.0,0.0,Neutral,Objective,Neutral and Objective
